Threshold,EV,Hours,Significance
1,0,1,10000
2,0,1,10000
3,0,1,10000
4,0,1,10000
5,0,1,10000
6,0,1,10000
7,0,1,10000
8,0,1,10000
9,0,1,10000
10,0,1,10000
11,0,1,10000
12,0,1,10000
13,0,1,10000
14,0,1,10000
15,0,1,10000
16,0,1,10000
17,0,1,10000
18,0,1,10000
19,0,1,10000
20,0,1,10000
21,0,1,10000
22,0,1,10000
23,0,1,10000
24,0,1,10000
25,0,1,10000
26,0,1,10000
27,0,1,10000
28,0,1,10000
29,0,1,10000
30,0,1,10000
31,0,1,10000
32,0,1,10000
33,0,1,10000
34,0,1,10000
35,0,1,10000
36,0,1,10000
37,0,1,10000
38,0,1,10000
39,0,1,10000
40,0,1,10000
41,0,1,10000
42,0,1,10000
43,0,1,10000
44,0,1,10000
45,0,1,10000
46,1,1,10000
47,1,1,10000
48,1,1,10000
49,1,1,10000
50,1,1,10000
51,1,1,10000
52,1,1,10000
53,1,1,10000
54,1,1,10000
55,1,1,10000
56,1,1,10000
57,1,1,10000
58,1,1,10000
59,1,1,10000
60,1,1,10000
61,1,1,10000
62,1,1,10000
63,2,1,10000
64,2,1,10000
65,2,1,10000
66,2,1,10000
67,2,1,10000
68,2,1,10000
69,2,1,10000
70,2,1,10000
71,2,1,10000
72,2,1,10000
73,2,1,10000
74,2,1,10000
75,2,1,10000
76,2,1,10000
77,2,1,10000
78,2,1,10000
79,3,1,10000
80,3,1,10000
81,3,1,10000
82,3,1,10000
83,3,1,10000
84,3,1,10000
85,3,1,10000
86,3,1,10000
87,3,1,10000
88,3,1,10000
89,3,1,10000
90,4,1,10000
91,4,1,10000
92,4,1,10000
93,4,1,10000
94,4,1,10000
95,4,1,10000
96,4,1,10000
97,4,1,10000
98,4,1,10000
99,4,1,10000
100,5,1,10000
101,4,1,10000
102,4,1,10000
103,5,1,10000
104,5,1,10000
105,5,1,10000
106,5,1,10000
107,5,1,10000
108,5,1,10000
109,5,1,10000
110,5,1,10000
111,6,1,10000
112,6,1,10000
113,6,1,10000
114,6,1,10000
115,6,1,10000
116,6,1,10000
117,6,1,10000
118,6,1,10000
119,6,1,10000
120,7,1,10000
121,7,1,10000
122,7,1,10000
123,7,1,10000
124,7,1,10000
125,7,1,10000
126,8,1,10000
127,7,1,10000
128,8,1,10000
129,8,1,10000
130,8,1,10000
131,8,1,10000
132,8,1,10000
133,9,1,10000
134,9,1,10000
135,8,1,10000
136,9,1,10000
137,9,1,10000
138,9,1,10000
139,9,1,10000
140,10,1,10000
141,9,1,10000
142,10,1,10000
143,9,1,10000
144,10,1,10000
145,10,1,10000
146,10,1,10000
147,11,1,10000
148,10,1,10000
149,11,1,10000
150,11,1,10000
151,11,1,10000
152,11,1,10000
153,12,1,10000
154,12,1,10000
155,11,1,10000
156,12,1,10000
157,11,1,10000
158,12,1,10000
159,12,1,10000
160,12,1,10000
161,12,1,10000
162,13,1,10000
163,12,1,10000
164,13,1,10000
165,13,1,10000
166,14,1,10000
167,13,1,10000
168,14,1,10000
169,13,1,10000
170,14,1,10000
171,14,1,10000
172,14,1,10000
173,14,1,10000
174,14,1,10000
175,15,1,10000
176,15,1,10000
177,15,1,10000
178,15,1,10000
179,16,1,10000
180,16,1,10000
181,16,1,10000
182,16,1,10000
183,16,1,10000
184,15,1,10000
185,17,1,10000
186,16,1,10000
187,17,1,10000
188,17,1,10000
189,18,1,10000
190,18,1,10000
191,18,1,10000
192,18,1,10000
193,18,1,10000
194,18,1,10000
195,18,1,10000
196,18,1,10000
197,19,1,10000
198,19,1,10000
199,19,1,10000
200,19,1,10000
201,20,1,10000
202,20,1,10000
203,20,1,10000
204,21,1,10000
205,21,1,10000
206,21,1,10000
207,21,1,10000
208,22,1,10000
209,22,1,10000
210,21,1,10000
211,21,1,10000
212,23,1,10000
213,22,1,10000
214,23,1,10000
215,22,1,10000
216,22,1,10000
217,23,1,10000
218,23,1,10000
219,24,1,10000
220,24,1,10000
221,25,1,10000
222,24,1,10000
223,25,1,10000
224,25,1,10000
225,26,1,10000
226,26,1,10000
227,25,1,10000
228,26,1,10000
229,25,1,10000
230,27,1,10000
231,26,1,10000
232,26,1,10000
233,26,1,10000
234,27,1,10000
235,27,1,10000
236,27,1,10000
237,27,1,10000
238,28,1,10000
239,28,1,10000
240,27,1,10000
241,29,1,10000
242,28,1,10000
243,30,1,10000
244,29,1,10000
245,29,1,10000
246,30,1,10000
247,29,1,10000
248,32,1,10000
249,31,1,10000
250,31,1,10000
251,32,1,10000
252,32,1,10000
253,32,1,10000
254,32,1,10000
255,31,1,10000
256,32,1,10000
257,32,1,10000
258,33,1,10000
259,34,1,10000
260,33,1,10000
261,33,1,10000
262,34,1,10000
263,35,1,10000
264,34,1,10000
265,35,1,10000
266,35,1,10000
267,35,1,10000
268,34,1,10000
269,35,1,10000
270,36,1,10000
271,36,1,10000
272,37,1,10000
273,37,1,10000
274,37,1,10000
275,38,1,10000
276,37,1,10000
277,38,1,10000
278,37,1,10000
279,39,1,10000
280,38,1,10000
281,40,1,10000
282,39,1,10000
283,39,1,10000
284,39,1,10000
285,39,1,10000
286,40,1,10000
287,41,1,10000
288,42,1,10000
289,40,1,10000
290,41,1,10000
291,42,1,10000
292,42,1,10000
293,42,1,10000
294,44,1,10000
295,43,1,10000
296,44,1,10000
297,44,1,10000
298,44,1,10000
299,45,1,10000
300,44,1,10000
301,44,1,10000
302,44,1,10000
303,45,1,10000
304,46,1,10000
305,47,1,10000
306,47,1,10000
307,46,1,10000
308,47,1,10000
309,47,1,10000
310,46,1,10000
311,48,1,10000
312,49,1,10000
313,50,1,10000
314,48,1,10000
315,50,1,10000
316,50,1,10000
317,48,1,10000
318,50,1,10000
319,51,1,10000
320,50,1,10000
321,51,1,10000
322,50,1,10000
323,50,1,10000
324,52,1,10000
325,53,1,10000
326,52,1,10000
327,52,1,10000
328,52,1,10000
329,55,1,10000
330,54,1,10000
331,55,1,10000
332,54,1,10000
333,54,1,10000
334,56,1,10000
335,56,1,10000
336,54,1,10000
337,57,1,10000
338,56,1,10000
339,56,1,10000
340,58,1,10000
341,58,1,10000
342,59,1,10000
343,58,1,10000
344,60,1,10000
345,58,1,10000
346,59,1,10000
347,60,1,10000
348,60,1,10000
349,60,1,10000
350,61,1,10000
351,62,1,10000
352,61,1,10000
353,60,1,10000
354,61,1,10000
355,62,1,10000
356,63,1,10000
357,64,1,10000
358,63,1,10000
359,64,1,10000
360,64,1,10000
361,65,1,10000
362,64,1,10000
363,66,1,10000
364,66,1,10000
365,66,1,10000
366,65,1,10000
367,66,1,10000
368,67,1,10000
369,69,1,10000
370,69,1,10000
371,69,1,10000
372,69,1,10000
373,67,1,10000
374,69,1,10000
375,70,1,10000
376,71,1,10000
377,71,1,10000
378,72,1,10000
379,72,1,10000
380,70,1,10000
381,72,1,10000
382,75,1,10000
383,75,1,10000
384,74,1,10000
385,76,1,10000
386,74,1,10000
387,73,1,10000
388,76,1,10000
389,75,1,10000
390,76,1,10000
391,76,1,10000
392,75,1,10000
393,77,1,10000
394,76,1,10000
395,79,1,10000
396,79,1,10000
397,78,1,10000
398,81,1,10000
399,78,1,10000
400,79,1,10000
401,81,1,10000
402,81,1,10000
403,81,1,10000
404,81,1,10000
405,80,1,10000
406,83,1,10000
407,80,1,10000
408,80,1,10000
409,83,1,10000
410,83,1,10000
411,84,1,10000
412,85,1,10000
413,83,1,10000
414,87,1,10000
415,86,1,10000
416,86,1,10000
417,85,1,10000
418,87,1,10000
419,88,1,10000
420,89,1,10000
421,90,1,10000
422,89,1,10000
423,87,1,10000
424,89,1,10000
425,90,1,10000
426,91,1,10000
427,92,1,10000
428,92,1,10000
429,93,1,10000
430,92,1,10000
431,93,1,10000
432,93,1,10000
433,96,1,10000
434,96,1,10000
435,95,1,10000
436,95,1,10000
437,94,1,10000
438,95,1,10000
439,97,1,10000
440,95,1,10000
441,95,1,10000
442,94,1,10000
443,96,1,10000
444,97,1,10000
445,98,1,10000
446,98,1,10000
447,100,1,10000
448,100,1,10000
449,99,1,10000
450,100,1,10000
451,103,1,10000
452,102,1,10000
453,104,1,10000
454,102,1,10000
455,105,1,10000
456,102,1,10000
457,104,1,10000
458,103,1,10000
459,105,1,10000
460,107,1,10000
461,107,1,10000
462,106,1,10000
463,109,1,10000
464,108,1,10000
465,109,1,10000
466,109,1,10000
467,109,1,10000
468,108,1,10000
469,110,1,10000
470,108,1,10000
471,109,1,10000
472,109,1,10000
473,110,1,10000
474,113,1,10000
475,111,1,10000
476,111,1,10000
477,113,1,10000
478,113,1,10000
479,112,1,10000
480,113,1,10000
481,114,1,10000
482,113,1,10000
483,112,1,10000
484,115,1,10000
485,116,1,10000
486,117,1,10000
487,118,1,10000
488,119,1,10000
489,119,1,10000
490,120,1,10000
491,120,1,10000
492,121,1,10000
493,120,1,10000
494,120,1,10000
495,122,1,10000
496,123,1,10000
497,124,1,10000
498,123,1,10000
499,121,1,10000
500,124,1,10000
501,126,1,10000
502,126,1,10000
503,129,1,10000
504,125,1,10000
505,125,1,10000
506,127,1,10000
507,129,1,10000
508,131,1,10000
509,132,1,10000
510,128,1,10000
511,129,1,10000
512,130,1,10000
513,129,1,10000
514,131,1,10000
515,133,1,10000
516,131,1,10000
517,133,1,10000
518,134,1,10000
519,135,1,10000
520,135,1,10000
521,134,1,10000
522,136,1,10000
523,137,1,10000
524,138,1,10000
525,138,1,10000
526,136,1,10000
527,138,1,10000
528,140,1,10000
529,140,1,10000
530,141,1,10000
531,140,1,10000
532,142,1,10000
533,144,1,10000
534,141,1,10000
535,143,1,10000
536,145,1,10000
537,145,1,10000
538,144,1,10000
539,148,1,10000
540,148,1,10000
541,147,1,10000
542,148,1,10000
543,147,1,10000
544,147,1,10000
545,146,1,10000
546,149,1,10000
547,149,1,10000
548,149,1,10000
549,151,1,10000
550,151,1,10000
551,150,1,10000
552,152,1,10000
553,153,1,10000
554,153,1,10000
555,152,1,10000
556,153,1,10000
557,153,1,10000
558,153,1,10000
559,158,1,10000
560,158,1,10000
561,160,1,10000
562,155,1,10000
563,155,1,10000
564,156,1,10000
565,160,1,10000
566,157,1,10000
567,160,1,10000
568,161,1,10000
569,163,1,10000
570,162,1,10000
571,163,1,10000
572,165,1,10000
573,167,1,10000
574,166,1,10000
575,166,1,10000
576,163,1,10000
577,165,1,10000
578,167,1,10000
579,166,1,10000
580,167,1,10000
581,168,1,10000
582,173,1,10000
583,165,1,10000
584,169,1,10000
585,170,1,10000
586,169,1,10000
587,171,1,10000
588,173,1,10000
589,173,1,10000
590,171,1,10000
591,175,1,10000
592,174,1,10000
593,176,1,10000
594,176,1,10000
595,175,1,10000
596,177,1,10000
597,178,1,10000
598,175,1,10000
599,181,1,10000
600,180,1,10000
601,180,1,10000
602,182,1,10000
603,184,1,10000
604,181,1,10000
605,181,1,10000
606,181,1,10000
607,184,1,10000
608,185,1,10000
609,182,1,10000
610,186,1,10000
611,188,1,10000
612,187,1,10000
613,189,1,10000
614,187,1,10000
615,193,1,10000
616,186,1,10000
617,188,1,10000
618,191,1,10000
619,189,1,10000
620,191,1,10000
621,194,1,10000
622,192,1,10000
623,191,1,10000
624,196,1,10000
625,198,1,10000
626,196,1,10000
627,196,1,10000
628,192,1,10000
629,199,1,10000
630,195,1,10000
631,198,1,10000
632,201,1,10000
633,197,1,10000
634,200,1,10000
635,201,1,10000
636,204,1,10000
637,201,1,10000
638,202,1,10000
639,204,1,10000
640,205,1,10000
641,202,1,10000
642,205,1,10000
643,205,1,10000
644,207,1,10000
645,208,1,10000
646,202,1,10000
647,206,1,10000
648,210,1,10000
649,212,1,10000
650,213,1,10000
651,214,1,10000
652,212,1,10000
653,212,1,10000
654,212,1,10000
655,209,1,10000
656,210,1,10000
657,219,1,10000
658,219,1,10000
659,215,1,10000
660,214,1,10000
661,216,1,10000
662,221,1,10000
663,216,1,10000
664,220,1,10000
665,218,1,10000
666,220,1,10000
667,224,1,10000
668,220,1,10000
669,221,1,10000
670,222,1,10000
671,225,1,10000
672,225,1,10000
673,224,1,10000
674,229,1,10000
675,229,1,10000
676,227,1,10000
677,230,1,10000
678,229,1,10000
679,230,1,10000
680,229,1,10000
681,229,1,10000
682,233,1,10000
683,229,1,10000
684,232,1,10000
685,231,1,10000
686,236,1,10000
687,233,1,10000
688,235,1,10000
689,239,1,10000
690,240,1,10000
691,238,1,10000
692,239,1,10000
693,240,1,10000
694,237,1,10000
695,242,1,10000
696,241,1,10000
697,241,1,10000
698,244,1,10000
699,244,1,10000
700,243,1,10000
701,241,1,10000
702,245,1,10000
703,244,1,10000
704,248,1,10000
705,244,1,10000
706,248,1,10000
707,247,1,10000
708,250,1,10000
709,254,1,10000
710,252,1,10000
711,248,1,10000
712,255,1,10000
713,250,1,10000
714,252,1,10000
715,255,1,10000
716,255,1,10000
717,259,1,10000
718,255,1,10000
719,260,1,10000
720,257,1,10000
721,259,1,10000
722,259,1,10000
723,260,1,10000
724,264,1,10000
725,264,1,10000
726,260,1,10000
727,261,1,10000
728,266,1,10000
729,262,1,10000
730,262,1,10000
731,266,1,10000
732,269,1,10000
733,267,1,10000
734,268,1,10000
735,274,1,10000
736,271,1,10000
737,273,1,10000
738,271,1,10000
739,273,1,10000
740,273,1,10000
741,278,1,10000
742,276,1,10000
743,275,1,10000
744,276,1,10000
745,276,1,10000
746,273,1,10000
747,282,1,10000
748,275,1,10000
