Threshold,EV,Hours,Significance
1,824,2,10
2,835,2,10
3,679,2,10
4,954,2,10
5,602,2,10
6,853,2,10
7,754,2,10
8,716,2,10
9,861,2,10
10,936,2,10
11,605,2,10
12,766,2,10
13,717,2,10
14,896,2,10
15,1022,2,10
16,911,2,10
17,708,2,10
18,724,2,10
19,715,2,10
20,1049,2,10
21,995,2,10
22,929,2,10
23,1038,2,10
24,963,2,10
25,763,2,10
26,819,2,10
27,880,2,10
28,877,2,10
29,890,2,10
30,817,2,10
31,884,2,10
32,656,2,10
33,870,2,10
34,786,2,10
35,625,2,10
36,721,2,10
37,954,2,10
38,845,2,10
39,663,2,10
40,906,2,10
41,771,2,10
42,905,2,10
43,737,2,10
44,798,2,10
45,703,2,10
46,869,2,10
47,848,2,10
48,672,2,10
49,746,2,10
50,984,2,10
51,737,2,10
52,742,2,10
53,982,2,10
54,717,2,10
55,902,2,10
56,849,2,10
57,930,2,10
58,1038,2,10
59,765,2,10
60,780,2,10
61,781,2,10
62,583,2,10
63,854,2,10
64,765,2,10
65,737,2,10
66,589,2,10
67,1180,2,10
68,901,2,10
69,1009,2,10
70,811,2,10
71,649,2,10
72,945,2,10
73,797,2,10
74,871,2,10
75,571,2,10
76,778,2,10
77,944,2,10
78,841,2,10
79,953,2,10
80,754,2,10
81,681,2,10
82,873,2,10
83,904,2,10
84,871,2,10
85,870,2,10
86,797,2,10
87,797,2,10
88,759,2,10
89,864,2,10
90,948,2,10
91,912,2,10
92,679,2,10
93,836,2,10
94,938,2,10
95,612,2,10
96,981,2,10
97,713,2,10
98,758,2,10
99,763,2,10
100,750,2,10
101,1073,2,10
102,891,2,10
103,1019,2,10
104,875,2,10
105,1011,2,10
106,918,2,10
107,730,2,10
108,861,2,10
109,745,2,10
110,668,2,10
111,851,2,10
112,714,2,10
113,835,2,10
114,783,2,10
115,819,2,10
116,819,2,10
117,734,2,10
118,834,2,10
119,807,2,10
120,630,2,10
121,838,2,10
122,830,2,10
123,746,2,10
124,731,2,10
125,740,2,10
126,837,2,10
127,900,2,10
128,762,2,10
129,846,2,10
130,810,2,10
131,871,2,10
132,922,2,10
133,889,2,10
134,815,2,10
135,813,2,10
136,930,2,10
137,969,2,10
138,1001,2,10
139,931,2,10
140,939,2,10
141,754,2,10
142,712,2,10
143,825,2,10
144,939,2,10
145,703,2,10
146,818,2,10
147,920,2,10
148,782,2,10
149,900,2,10
150,1045,2,10
151,921,2,10
152,824,2,10
153,895,2,10
154,791,2,10
155,700,2,10
156,746,2,10
157,746,2,10
158,824,2,10
159,719,2,10
160,761,2,10
161,893,2,10
162,570,2,10
163,814,2,10
164,869,2,10
165,1017,2,10
166,949,2,10
167,739,2,10
168,847,2,10
169,1011,2,10
170,808,2,10
171,814,2,10
172,927,2,10
173,702,2,10
174,801,2,10
175,916,2,10
176,701,2,10
177,855,2,10
178,749,2,10
179,719,2,10
180,670,2,10
181,764,2,10
182,1063,2,10
183,980,2,10
184,1130,2,10
185,804,2,10
186,939,2,10
187,947,2,10
188,485,2,10
189,890,2,10
190,660,2,10
191,775,2,10
192,795,2,10
193,868,2,10
194,1012,2,10
195,777,2,10
196,845,2,10
197,808,2,10
198,879,2,10
199,584,2,10
200,630,2,10
201,640,2,10
202,762,2,10
203,793,2,10
204,770,2,10
205,922,2,10
206,823,2,10
207,772,2,10
208,1006,2,10
209,856,2,10
210,881,2,10
211,826,2,10
212,746,2,10
213,733,2,10
214,871,2,10
215,751,2,10
216,846,2,10
217,722,2,10
218,833,2,10
219,863,2,10
220,958,2,10
221,792,2,10
222,784,2,10
223,955,2,10
224,700,2,10
225,740,2,10
226,912,2,10
227,916,2,10
228,953,2,10
229,750,2,10
230,777,2,10
231,849,2,10
232,907,2,10
233,770,2,10
234,943,2,10
235,742,2,10
236,547,2,10
237,834,2,10
238,710,2,10
239,626,2,10
240,871,2,10
241,774,2,10
242,692,2,10
243,847,2,10
244,625,2,10
245,848,2,10
246,894,2,10
247,819,2,10
248,778,2,10
249,821,2,10
250,767,2,10
251,746,2,10
252,695,2,10
253,656,2,10
254,987,2,10
255,800,2,10
256,762,2,10
257,823,2,10
258,648,2,10
259,750,2,10
260,785,2,10
261,867,2,10
262,799,2,10
263,661,2,10
264,690,2,10
265,820,2,10
266,813,2,10
267,934,2,10
268,797,2,10
269,1002,2,10
270,875,2,10
271,934,2,10
272,797,2,10
273,841,2,10
274,834,2,10
275,721,2,10
276,873,2,10
277,854,2,10
278,847,2,10
279,777,2,10
280,866,2,10
281,892,2,10
282,1129,2,10
283,961,2,10
284,848,2,10
285,624,2,10
286,973,2,10
287,965,2,10
288,850,2,10
289,737,2,10
290,607,2,10
291,828,2,10
292,849,2,10
293,857,2,10
294,962,2,10
295,601,2,10
296,1006,2,10
297,537,2,10
298,675,2,10
299,486,2,10
300,1030,2,10
301,819,2,10
302,756,2,10
303,974,2,10
304,994,2,10
305,997,2,10
306,899,2,10
307,719,2,10
308,800,2,10
309,722,2,10
310,782,2,10
311,747,2,10
312,609,2,10
313,747,2,10
314,1005,2,10
315,644,2,10
316,908,2,10
317,739,2,10
318,1010,2,10
319,880,2,10
320,871,2,10
321,895,2,10
322,804,2,10
323,930,2,10
324,772,2,10
325,829,2,10
326,701,2,10
327,662,2,10
328,821,2,10
329,1076,2,10
330,863,2,10
331,921,2,10
332,1173,2,10
333,830,2,10
334,856,2,10
335,833,2,10
336,648,2,10
337,658,2,10
338,808,2,10
339,702,2,10
340,874,2,10
341,635,2,10
342,1062,2,10
343,612,2,10
344,876,2,10
345,559,2,10
346,754,2,10
347,794,2,10
348,757,2,10
349,819,2,10
350,643,2,10
351,654,2,10
352,650,2,10
353,956,2,10
354,777,2,10
355,984,2,10
356,579,2,10
357,600,2,10
358,784,2,10
359,776,2,10
360,1070,2,10
361,793,2,10
362,825,2,10
363,732,2,10
364,775,2,10
365,706,2,10
366,824,2,10
367,689,2,10
368,807,2,10
369,652,2,10
370,795,2,10
371,937,2,10
372,644,2,10
373,810,2,10
374,792,2,10
375,852,2,10
376,923,2,10
377,891,2,10
378,745,2,10
379,833,2,10
380,699,2,10
381,556,2,10
382,563,2,10
383,663,2,10
384,845,2,10
385,845,2,10
386,1142,2,10
387,598,2,10
388,838,2,10
389,656,2,10
390,646,2,10
391,902,2,10
392,778,2,10
393,867,2,10
394,597,2,10
395,689,2,10
396,708,2,10
397,996,2,10
398,865,2,10
399,631,2,10
400,712,2,10
401,822,2,10
402,851,2,10
403,730,2,10
404,908,2,10
405,765,2,10
406,807,2,10
407,888,2,10
408,605,2,10
409,1004,2,10
410,758,2,10
411,665,2,10
412,897,2,10
413,1023,2,10
414,629,2,10
415,777,2,10
416,699,2,10
417,807,2,10
418,669,2,10
419,829,2,10
420,623,2,10
421,807,2,10
422,692,2,10
423,804,2,10
424,749,2,10
425,927,2,10
426,612,2,10
427,707,2,10
428,836,2,10
429,824,2,10
430,901,2,10
431,760,2,10
432,842,2,10
433,700,2,10
434,743,2,10
435,983,2,10
436,794,2,10
437,585,2,10
438,663,2,10
439,402,2,10
440,818,2,10
441,637,2,10
442,669,2,10
443,747,2,10
444,634,2,10
445,628,2,10
446,851,2,10
447,786,2,10
448,824,2,10
449,704,2,10
450,878,2,10
451,826,2,10
452,820,2,10
453,737,2,10
454,755,2,10
455,728,2,10
456,507,2,10
457,647,2,10
458,635,2,10
459,896,2,10
460,631,2,10
461,883,2,10
462,697,2,10
463,780,2,10
464,1149,2,10
465,629,2,10
466,621,2,10
467,662,2,10
468,841,2,10
469,542,2,10
470,729,2,10
471,679,2,10
472,934,2,10
