Threshold,EV,Hours,Significance
1,843,3,100
2,875,3,100
3,788,3,100
4,914,3,100
5,808,3,100
6,791,3,100
7,763,3,100
8,787,3,100
9,830,3,100
10,823,3,100
11,846,3,100
12,735,3,100
13,853,3,100
14,797,3,100
15,934,3,100
16,833,3,100
17,819,3,100
18,861,3,100
19,839,3,100
20,745,3,100
21,805,3,100
22,825,3,100
23,909,3,100
24,825,3,100
25,840,3,100
26,861,3,100
27,784,3,100
28,797,3,100
29,843,3,100
30,879,3,100
31,847,3,100
32,832,3,100
33,827,3,100
34,894,3,100
35,835,3,100
36,817,3,100
37,821,3,100
38,883,3,100
39,919,3,100
40,798,3,100
41,841,3,100
42,837,3,100
43,832,3,100
44,809,3,100
45,781,3,100
46,837,3,100
47,798,3,100
48,851,3,100
49,897,3,100
50,732,3,100
51,897,3,100
52,794,3,100
53,918,3,100
54,772,3,100
55,781,3,100
56,850,3,100
57,836,3,100
58,744,3,100
59,799,3,100
60,853,3,100
61,852,3,100
62,893,3,100
63,867,3,100
64,902,3,100
65,837,3,100
66,878,3,100
67,826,3,100
68,872,3,100
69,848,3,100
70,795,3,100
71,871,3,100
72,833,3,100
73,841,3,100
74,862,3,100
75,827,3,100
76,804,3,100
77,869,3,100
78,858,3,100
79,852,3,100
80,887,3,100
81,896,3,100
82,876,3,100
83,820,3,100
84,859,3,100
85,826,3,100
86,829,3,100
87,840,3,100
88,878,3,100
89,823,3,100
90,797,3,100
91,893,3,100
92,854,3,100
93,819,3,100
94,812,3,100
95,751,3,100
96,849,3,100
97,847,3,100
98,872,3,100
99,813,3,100
100,809,3,100
101,837,3,100
102,807,3,100
103,881,3,100
104,838,3,100
105,839,3,100
106,748,3,100
107,827,3,100
108,832,3,100
109,845,3,100
110,894,3,100
111,805,3,100
112,803,3,100
113,801,3,100
114,906,3,100
115,865,3,100
116,833,3,100
117,857,3,100
118,800,3,100
119,861,3,100
120,754,3,100
121,816,3,100
122,785,3,100
123,854,3,100
124,830,3,100
125,823,3,100
126,817,3,100
127,825,3,100
128,830,3,100
129,860,3,100
130,813,3,100
131,829,3,100
132,835,3,100
133,851,3,100
134,849,3,100
135,831,3,100
136,775,3,100
137,858,3,100
138,870,3,100
139,821,3,100
140,760,3,100
141,971,3,100
142,885,3,100
143,824,3,100
144,882,3,100
145,811,3,100
146,874,3,100
147,850,3,100
148,809,3,100
149,885,3,100
150,936,3,100
151,869,3,100
152,793,3,100
153,861,3,100
154,880,3,100
155,931,3,100
156,846,3,100
157,838,3,100
158,892,3,100
159,898,3,100
160,802,3,100
161,817,3,100
162,867,3,100
163,878,3,100
164,809,3,100
165,840,3,100
166,890,3,100
167,797,3,100
168,846,3,100
169,838,3,100
170,805,3,100
171,794,3,100
172,810,3,100
173,789,3,100
174,877,3,100
175,788,3,100
176,845,3,100
177,881,3,100
178,881,3,100
179,796,3,100
180,808,3,100
181,863,3,100
182,852,3,100
183,865,3,100
184,813,3,100
185,948,3,100
186,886,3,100
187,840,3,100
188,801,3,100
189,878,3,100
190,842,3,100
191,879,3,100
192,807,3,100
193,843,3,100
194,802,3,100
195,841,3,100
196,856,3,100
197,818,3,100
198,873,3,100
199,866,3,100
200,805,3,100
201,832,3,100
202,883,3,100
203,796,3,100
204,793,3,100
205,829,3,100
206,825,3,100
207,801,3,100
208,865,3,100
209,814,3,100
210,863,3,100
211,859,3,100
212,867,3,100
213,834,3,100
214,827,3,100
215,865,3,100
216,840,3,100
217,835,3,100
218,813,3,100
219,869,3,100
220,828,3,100
221,895,3,100
222,838,3,100
223,789,3,100
224,787,3,100
225,840,3,100
226,823,3,100
227,800,3,100
228,816,3,100
229,882,3,100
230,866,3,100
231,868,3,100
232,877,3,100
233,822,3,100
234,799,3,100
235,826,3,100
236,820,3,100
237,848,3,100
238,860,3,100
239,911,3,100
240,814,3,100
241,843,3,100
242,842,3,100
243,853,3,100
244,911,3,100
245,820,3,100
246,896,3,100
247,848,3,100
248,877,3,100
249,815,3,100
250,822,3,100
251,824,3,100
252,829,3,100
253,881,3,100
254,824,3,100
255,888,3,100
256,876,3,100
257,831,3,100
258,762,3,100
259,863,3,100
260,787,3,100
261,834,3,100
262,881,3,100
263,851,3,100
264,839,3,100
265,864,3,100
266,792,3,100
267,836,3,100
268,881,3,100
269,880,3,100
270,847,3,100
271,848,3,100
272,862,3,100
273,835,3,100
274,878,3,100
275,841,3,100
276,914,3,100
277,934,3,100
278,864,3,100
279,852,3,100
280,813,3,100
281,852,3,100
282,848,3,100
283,848,3,100
284,826,3,100
285,774,3,100
286,813,3,100
287,880,3,100
288,868,3,100
289,870,3,100
290,803,3,100
291,862,3,100
292,871,3,100
293,897,3,100
294,824,3,100
295,930,3,100
296,843,3,100
297,875,3,100
298,880,3,100
299,800,3,100
300,855,3,100
301,829,3,100
302,890,3,100
303,868,3,100
304,904,3,100
305,855,3,100
306,862,3,100
307,922,3,100
308,899,3,100
309,919,3,100
310,875,3,100
311,931,3,100
312,840,3,100
313,828,3,100
314,888,3,100
315,952,3,100
316,835,3,100
317,856,3,100
318,970,3,100
319,903,3,100
320,873,3,100
321,900,3,100
322,885,3,100
323,897,3,100
324,872,3,100
325,813,3,100
326,843,3,100
327,849,3,100
328,899,3,100
329,908,3,100
330,941,3,100
331,895,3,100
332,880,3,100
333,923,3,100
334,898,3,100
335,910,3,100
336,871,3,100
337,891,3,100
338,912,3,100
339,850,3,100
340,920,3,100
341,946,3,100
342,842,3,100
343,895,3,100
344,923,3,100
345,951,3,100
346,863,3,100
347,886,3,100
348,947,3,100
349,830,3,100
350,807,3,100
351,876,3,100
352,906,3,100
353,792,3,100
354,845,3,100
355,870,3,100
356,889,3,100
357,909,3,100
358,852,3,100
359,846,3,100
360,811,3,100
361,858,3,100
362,920,3,100
363,931,3,100
364,856,3,100
365,872,3,100
366,802,3,100
367,859,3,100
368,911,3,100
369,858,3,100
370,932,3,100
371,922,3,100
372,908,3,100
373,940,3,100
374,793,3,100
375,890,3,100
376,877,3,100
377,899,3,100
378,855,3,100
379,926,3,100
380,888,3,100
381,849,3,100
382,887,3,100
383,908,3,100
384,944,3,100
385,900,3,100
386,916,3,100
387,907,3,100
388,962,3,100
389,942,3,100
390,935,3,100
391,905,3,100
392,934,3,100
393,893,3,100
394,903,3,100
395,888,3,100
396,841,3,100
397,866,3,100
398,971,3,100
399,929,3,100
400,858,3,100
401,932,3,100
402,938,3,100
403,901,3,100
404,976,3,100
405,871,3,100
406,846,3,100
407,909,3,100
408,878,3,100
409,918,3,100
410,1042,3,100
411,874,3,100
412,919,3,100
413,888,3,100
414,913,3,100
415,849,3,100
416,938,3,100
417,887,3,100
418,893,3,100
419,905,3,100
420,935,3,100
421,839,3,100
422,895,3,100
423,820,3,100
424,910,3,100
425,925,3,100
426,972,3,100
427,895,3,100
428,907,3,100
429,879,3,100
430,898,3,100
431,903,3,100
432,920,3,100
433,930,3,100
434,870,3,100
435,885,3,100
436,994,3,100
437,882,3,100
438,886,3,100
439,950,3,100
440,932,3,100
441,903,3,100
442,884,3,100
443,957,3,100
444,900,3,100
445,893,3,100
446,1032,3,100
447,935,3,100
448,891,3,100
449,973,3,100
450,955,3,100
451,847,3,100
452,953,3,100
453,866,3,100
454,916,3,100
455,877,3,100
456,919,3,100
457,914,3,100
458,901,3,100
459,897,3,100
460,891,3,100
461,896,3,100
462,950,3,100
463,864,3,100
464,899,3,100
465,984,3,100
466,862,3,100
467,895,3,100
468,880,3,100
469,878,3,100
470,884,3,100
471,898,3,100
472,963,3,100
473,874,3,100
474,905,3,100
475,969,3,100
476,922,3,100
477,921,3,100
478,956,3,100
479,900,3,100
480,909,3,100
481,959,3,100
482,947,3,100
483,910,3,100
484,924,3,100
485,950,3,100
486,898,3,100
487,927,3,100
488,892,3,100
489,964,3,100
490,952,3,100
491,949,3,100
492,990,3,100
493,898,3,100
494,961,3,100
495,913,3,100
496,873,3,100
497,927,3,100
498,958,3,100
499,897,3,100
500,915,3,100
501,972,3,100
502,961,3,100
503,942,3,100
504,1008,3,100
505,978,3,100
506,960,3,100
507,961,3,100
508,909,3,100
509,953,3,100
510,958,3,100
511,879,3,100
512,843,3,100
513,911,3,100
514,865,3,100
515,943,3,100
516,899,3,100
517,941,3,100
518,987,3,100
519,982,3,100
520,976,3,100
521,1017,3,100
522,935,3,100
523,923,3,100
524,972,3,100
525,925,3,100
526,974,3,100
527,898,3,100
528,947,3,100
529,946,3,100
530,914,3,100
531,1072,3,100
532,904,3,100
533,935,3,100
534,912,3,100
535,908,3,100
536,913,3,100
537,944,3,100
538,893,3,100
539,926,3,100
540,884,3,100
541,924,3,100
542,930,3,100
543,988,3,100
544,951,3,100
545,983,3,100
546,1060,3,100
547,940,3,100
548,879,3,100
549,914,3,100
550,910,3,100
551,906,3,100
552,942,3,100
553,928,3,100
554,907,3,100
555,921,3,100
556,935,3,100
557,891,3,100
558,934,3,100
559,941,3,100
560,876,3,100
561,919,3,100
562,921,3,100
563,969,3,100
564,986,3,100
565,996,3,100
566,986,3,100
567,994,3,100
568,902,3,100
569,1021,3,100
570,1008,3,100
571,963,3,100
572,982,3,100
573,954,3,100
574,990,3,100
575,976,3,100
576,942,3,100
577,1012,3,100
578,911,3,100
579,831,3,100
580,919,3,100
581,907,3,100
582,981,3,100
583,959,3,100
584,988,3,100
585,917,3,100
586,976,3,100
587,1018,3,100
588,988,3,100
589,944,3,100
590,997,3,100
591,1010,3,100
592,961,3,100
593,1060,3,100
594,1001,3,100
595,923,3,100
596,1016,3,100
597,1026,3,100
598,1001,3,100
599,900,3,100
600,1031,3,100
601,956,3,100
602,873,3,100
603,898,3,100
604,1028,3,100
605,948,3,100
606,931,3,100
607,949,3,100
608,1055,3,100
609,943,3,100
610,943,3,100
611,979,3,100
612,943,3,100
613,961,3,100
614,997,3,100
615,946,3,100
616,907,3,100
617,1007,3,100
618,1023,3,100
619,983,3,100
620,956,3,100
621,998,3,100
622,905,3,100
623,1023,3,100
624,962,3,100
625,974,3,100
626,1050,3,100
627,989,3,100
628,966,3,100
629,927,3,100
630,953,3,100
631,952,3,100
632,900,3,100
633,939,3,100
634,1059,3,100
635,1005,3,100
636,994,3,100
637,972,3,100
638,1023,3,100
639,1039,3,100
640,949,3,100
641,1050,3,100
642,976,3,100
643,908,3,100
644,944,3,100
645,989,3,100
646,948,3,100
647,987,3,100
648,1027,3,100
649,976,3,100
650,879,3,100
651,1022,3,100
652,937,3,100
653,956,3,100
654,1014,3,100
655,1028,3,100
656,985,3,100
657,994,3,100
658,1042,3,100
659,993,3,100
660,1058,3,100
661,914,3,100
662,1016,3,100
663,944,3,100
664,1026,3,100
665,1003,3,100
666,1018,3,100
667,953,3,100
668,958,3,100
669,941,3,100
670,990,3,100
671,1026,3,100
672,1037,3,100
673,949,3,100
674,982,3,100
675,1016,3,100
676,1075,3,100
677,992,3,100
678,932,3,100
679,996,3,100
680,969,3,100
681,1045,3,100
682,978,3,100
683,998,3,100
684,1007,3,100
685,1027,3,100
686,1065,3,100
687,920,3,100
688,971,3,100
689,974,3,100
690,976,3,100
691,954,3,100
692,958,3,100
693,1012,3,100
694,960,3,100
695,1001,3,100
696,974,3,100
697,967,3,100
698,982,3,100
699,991,3,100
700,1035,3,100
701,990,3,100
702,1011,3,100
703,948,3,100
704,944,3,100
705,1018,3,100
706,986,3,100
707,998,3,100
708,1016,3,100
709,975,3,100
710,969,3,100
711,1038,3,100
712,1027,3,100
713,992,3,100
714,1080,3,100
715,1008,3,100
716,1047,3,100
717,1048,3,100
718,1035,3,100
719,1055,3,100
720,971,3,100
721,1051,3,100
722,986,3,100
723,996,3,100
724,1043,3,100
725,1031,3,100
726,955,3,100
727,1014,3,100
728,965,3,100
729,962,3,100
730,1010,3,100
731,1007,3,100
732,1021,3,100
733,1010,3,100
734,1084,3,100
735,1032,3,100
736,990,3,100
737,995,3,100
738,988,3,100
739,1062,3,100
740,1029,3,100
741,1074,3,100
742,1044,3,100
743,1009,3,100
744,1105,3,100
745,1028,3,100
746,1017,3,100
747,1031,3,100
748,1015,3,100
749,948,3,100
750,942,3,100
751,1101,3,100
752,960,3,100
753,1038,3,100
754,1050,3,100
755,1009,3,100
756,1055,3,100
757,996,3,100
758,1055,3,100
759,1064,3,100
760,1047,3,100
761,992,3,100
762,946,3,100
763,901,3,100
764,1011,3,100
765,1026,3,100
766,991,3,100
767,1087,3,100
768,1039,3,100
769,909,3,100
770,1014,3,100
771,1032,3,100
772,1063,3,100
773,1008,3,100
774,1123,3,100
775,1007,3,100
776,1028,3,100
777,1028,3,100
778,1083,3,100
779,1046,3,100
780,1073,3,100
781,1085,3,100
782,937,3,100
783,1026,3,100
784,1048,3,100
785,1082,3,100
786,1021,3,100
787,1058,3,100
788,972,3,100
789,1052,3,100
790,920,3,100
791,993,3,100
792,1080,3,100
793,1029,3,100
794,1008,3,100
795,1070,3,100
796,1097,3,100
797,1000,3,100
798,1023,3,100
799,970,3,100
800,1003,3,100
801,1033,3,100
802,996,3,100
803,1046,3,100
804,1031,3,100
805,1058,3,100
806,1024,3,100
807,999,3,100
808,1079,3,100
809,991,3,100
810,994,3,100
811,993,3,100
812,1062,3,100
813,1057,3,100
814,1011,3,100
815,1069,3,100
816,1031,3,100
817,954,3,100
818,1045,3,100
819,1008,3,100
820,1020,3,100
821,989,3,100
822,1090,3,100
823,993,3,100
824,1049,3,100
825,999,3,100
826,1000,3,100
827,941,3,100
828,1052,3,100
829,887,3,100
830,1079,3,100
831,1042,3,100
832,1168,3,100
833,1064,3,100
834,1004,3,100
835,1017,3,100
836,1094,3,100
837,990,3,100
838,1013,3,100
839,1060,3,100
840,1108,3,100
841,1103,3,100
842,1003,3,100
843,1065,3,100
844,1021,3,100
845,1021,3,100
846,1060,3,100
847,1102,3,100
848,1032,3,100
849,981,3,100
850,1099,3,100
851,999,3,100
852,1023,3,100
853,1059,3,100
854,941,3,100
855,1029,3,100
856,1046,3,100
857,1064,3,100
858,1034,3,100
859,1044,3,100
860,1029,3,100
861,1055,3,100
862,1148,3,100
863,1094,3,100
864,1037,3,100
865,1143,3,100
866,1133,3,100
867,1040,3,100
868,1040,3,100
869,982,3,100
870,1115,3,100
871,1035,3,100
872,1022,3,100
873,1066,3,100
874,1006,3,100
875,1054,3,100
876,1086,3,100
877,1011,3,100
878,1055,3,100
879,1084,3,100
880,1077,3,100
881,1105,3,100
882,1030,3,100
883,1085,3,100
884,1073,3,100
885,1121,3,100
886,1057,3,100
887,1119,3,100
888,1011,3,100
889,1063,3,100
890,1021,3,100
891,1059,3,100
892,1027,3,100
893,1070,3,100
894,1065,3,100
895,1082,3,100
896,1050,3,100
897,994,3,100
898,1072,3,100
899,1103,3,100
900,995,3,100
901,1045,3,100
902,1027,3,100
903,1036,3,100
904,1122,3,100
905,1181,3,100
906,1088,3,100
907,1127,3,100
908,1106,3,100
909,1092,3,100
910,1031,3,100
911,1040,3,100
912,1123,3,100
913,1045,3,100
914,1032,3,100
915,1058,3,100
916,1035,3,100
917,1120,3,100
918,1041,3,100
919,1091,3,100
920,1070,3,100
921,996,3,100
922,1092,3,100
923,1053,3,100
924,998,3,100
925,1114,3,100
926,1077,3,100
927,1082,3,100
928,1066,3,100
929,1076,3,100
930,1075,3,100
931,1079,3,100
932,983,3,100
933,1164,3,100
934,1119,3,100
935,1132,3,100
936,1039,3,100
937,1081,3,100
938,1062,3,100
939,1130,3,100
940,1010,3,100
941,1060,3,100
942,1061,3,100
943,1133,3,100
944,1122,3,100
945,1081,3,100
946,1088,3,100
947,1088,3,100
948,1051,3,100
949,1094,3,100
950,1070,3,100
951,1160,3,100
952,1002,3,100
953,1115,3,100
954,1044,3,100
955,1078,3,100
956,1041,3,100
957,1111,3,100
958,1123,3,100
959,1041,3,100
960,1073,3,100
961,1016,3,100
962,1039,3,100
963,1100,3,100
964,1151,3,100
965,1067,3,100
966,1148,3,100
967,1134,3,100
968,1130,3,100
969,1097,3,100
970,1081,3,100
971,1036,3,100
972,1083,3,100
973,1101,3,100
974,1109,3,100
975,1041,3,100
976,1044,3,100
977,1105,3,100
978,1141,3,100
979,1081,3,100
980,1094,3,100
981,1069,3,100
982,1093,3,100
983,1014,3,100
984,1054,3,100
985,1046,3,100
986,1053,3,100
987,1019,3,100
988,1051,3,100
989,1123,3,100
990,1120,3,100
991,1074,3,100
992,1137,3,100
993,1059,3,100
994,1067,3,100
995,1160,3,100
996,1081,3,100
997,1020,3,100
998,1123,3,100
999,1088,3,100
1000,1137,3,100
