EV Chart,1 Floors,2 Floors,3 Floors,4 Floors,5 Floors,6 Floors,7 Floors,8 Floors,9 Floors,10 Floors,11 Floors,12 Floors,13 Floors,14 Floors,15 Floors,16 Floors,17 Floors,18 Floors,19 Floors,20 Floors
1 People,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2 People,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3 People,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
4 People,1,1,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
5 People,1,1,2,2,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4
6 People,1,1,2,3,3,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5
7 People,1,1,2,3,3,4,4,4,5,5,5,5,5,5,5,5,5,5,6,5
8 People,1,2,2,3,4,4,4,5,5,5,5,5,6,6,6,6,6,6,6,6
9 People,1,2,2,3,4,4,5,5,5,6,6,6,6,6,6,7,7,7,7,7
10 People,1,2,2,3,4,5,5,5,6,6,6,6,7,7,7,7,7,7,7,7
