EV Chart,1 Floors,2 Floors,3 Floors,4 Floors,5 Floors,6 Floors,7 Floors,8 Floors,9 Floors,10 Floors
1 People,1,1,1,1,1,1,1,1,1,1
2 People,1,1,1,1,2,2,1,1,2,1
3 People,1,1,2,2,2,2,2,2,2,2
4 People,1,1,2,2,3,3,3,2,3,3
5 People,1,1,2,3,3,3,3,4,3,4
6 People,1,2,2,3,3,3,4,4,4,4
7 People,1,1,3,3,4,4,4,5,5,5
8 People,1,2,3,3,4,4,5,5,5,5
9 People,1,2,3,4,4,5,5,5,6,6
10 People,1,2,2,3,4,5,5,5,6,6
11 People,1,2,2,3,4,5,5,5,6,6
12 People,1,2,3,3,4,5,5,6,6,8
13 People,1,2,3,3,4,5,5,6,7,7
14 People,1,2,3,4,4,5,6,6,7,7
15 People,1,2,3,4,4,6,6,6,7,8
16 People,1,2,3,4,4,5,6,7,7,7
17 People,1,2,3,3,5,5,6,7,7,8
18 People,1,2,2,4,5,5,6,7,8,8
19 People,1,2,3,4,4,5,6,7,8,9
20 People,1,2,3,4,4,5,6,7,8,9
21 People,1,2,3,4,5,6,6,7,8,9
22 People,1,2,3,3,5,5,6,7,8,9
23 People,1,2,3,4,5,6,6,8,8,9
24 People,1,2,3,4,5,5,6,7,8,9
25 People,1,2,3,4,5,6,7,7,8,9
26 People,1,2,3,4,5,6,6,7,8,9
27 People,1,2,3,4,5,6,7,7,8,9
28 People,1,2,3,4,4,6,6,7,8,9
29 People,1,2,3,4,4,5,7,7,8,9
30 People,1,2,3,4,5,6,7,8,8,9
31 People,1,2,3,4,5,6,6,7,8,9
32 People,1,2,3,4,5,6,6,8,8,9
33 People,1,2,3,4,5,5,7,8,8,9
34 People,1,2,3,4,5,6,7,7,8,9
35 People,1,2,3,4,5,6,7,7,8,9
36 People,1,2,3,4,5,6,6,7,8,9
37 People,1,2,3,4,4,6,7,7,8,10
38 People,1,2,3,4,5,6,7,8,8,9
39 People,1,2,3,4,5,6,7,7,8,9
40 People,1,2,3,4,5,6,6,7,8,9
41 People,1,2,3,4,5,6,6,7,9,9
42 People,1,2,3,4,5,6,7,8,8,9
43 People,1,2,3,4,4,6,7,8,8,9
44 People,1,2,3,4,5,6,7,8,9,10
45 People,1,2,3,4,5,6,7,8,9,10
46 People,1,2,3,4,5,6,7,8,8,9
47 People,1,2,3,4,5,6,7,8,8,10
48 People,1,2,3,4,5,6,7,7,9,9
49 People,1,2,3,4,5,6,7,8,9,10
50 People,1,2,3,4,5,6,7,8,8,9
51 People,1,2,3,4,5,6,7,8,8,9
52 People,1,2,3,4,5,6,7,7,9,10
53 People,1,2,3,4,5,6,7,8,8,10
54 People,1,2,3,4,5,6,7,8,9,10
55 People,1,2,3,4,5,6,7,8,9,10
56 People,1,2,3,4,5,6,7,8,8,10
57 People,1,2,3,4,5,6,7,8,9,10
58 People,1,2,3,4,5,6,7,8,9,10
59 People,1,2,3,4,5,6,7,8,9,10
60 People,1,2,3,4,5,6,7,8,9,10
61 People,1,2,3,4,5,6,7,8,9,9
62 People,1,2,3,4,5,6,7,8,9,10
63 People,1,2,3,4,5,6,7,8,9,10
64 People,1,2,3,4,5,6,7,8,9,10
65 People,1,2,3,4,5,6,7,8,9,10
66 People,1,2,3,4,5,6,7,8,9,10
67 People,1,2,3,4,5,6,7,8,9,10
68 People,1,2,3,4,5,6,7,8,9,10
69 People,1,2,3,4,5,6,7,8,8,10
70 People,1,2,3,4,5,6,7,8,9,10
71 People,1,2,3,4,5,6,7,8,9,10
72 People,1,2,3,4,5,6,7,7,9,10
73 People,1,2,3,4,5,6,7,8,9,10
74 People,1,2,3,4,5,6,7,8,9,10
75 People,1,2,3,4,5,6,7,8,9,10
76 People,1,2,3,4,5,6,7,8,9,10
77 People,1,2,3,4,5,6,7,8,9,10
78 People,1,2,3,4,5,6,7,8,9,9
79 People,1,2,3,4,5,6,7,8,9,10
80 People,1,2,3,4,5,6,7,8,9,10
81 People,1,2,3,4,5,6,7,8,9,10
82 People,1,2,3,4,5,6,7,8,9,10
83 People,1,2,3,4,5,6,7,8,9,10
84 People,1,2,3,4,5,6,7,8,9,9
85 People,1,2,3,4,5,6,7,8,9,10
86 People,1,2,3,4,5,6,7,8,9,10
87 People,1,2,3,4,5,6,7,8,9,10
88 People,1,2,3,4,5,6,7,8,9,10
89 People,1,2,3,4,5,6,7,8,9,10
90 People,1,2,3,4,5,6,7,8,9,10
91 People,1,2,3,4,5,6,7,8,9,10
92 People,1,2,3,4,5,6,7,8,9,10
93 People,1,2,3,4,5,6,7,8,9,10
94 People,1,2,3,4,5,6,7,8,9,10
95 People,1,2,3,4,5,6,7,8,9,10
96 People,1,2,3,4,5,6,7,8,9,10
97 People,1,2,3,4,5,6,7,8,9,10
98 People,1,2,3,4,5,6,7,8,9,10
99 People,1,2,3,4,5,6,7,8,9,10
100 People,1,2,3,4,5,6,7,8,9,10
