People,Floors,EV
1,1,1
1,2,1
1,3,1
1,4,1
1,5,1
1,6,1
1,7,1
1,8,1
1,9,1
1,10,1
1,11,1
1,12,1
1,13,1
1,14,1
1,15,1
1,16,1
1,17,1
1,18,1
1,19,1
1,20,1
1,21,1
1,22,1
1,23,1
1,24,1
1,25,1
1,26,1
1,27,1
1,28,1
1,29,1
1,30,1
1,31,1
1,32,1
1,33,1
1,34,1
1,35,1
1,36,1
1,37,1
1,38,1
1,39,1
1,40,1
1,41,1
1,42,1
1,43,1
1,44,1
1,45,1
1,46,1
1,47,1
1,48,1
1,49,1
1,50,1
1,51,1
1,52,1
1,53,1
1,54,1
1,55,1
1,56,1
1,57,1
1,58,1
1,59,1
1,60,1
1,61,1
1,62,1
1,63,1
1,64,1
1,65,1
1,66,1
1,67,1
1,68,1
1,69,1
1,70,1
1,71,1
1,72,1
1,73,1
1,74,1
1,75,1
1,76,1
1,77,1
1,78,1
1,79,1
1,80,1
1,81,1
1,82,1
1,83,1
1,84,1
1,85,1
1,86,1
1,87,1
1,88,1
1,89,1
1,90,1
1,91,1
1,92,1
1,93,1
1,94,1
1,95,1
1,96,1
1,97,1
1,98,1
1,99,1
1,100,1
2,1,1
2,2,1
2,3,1
2,4,1
2,5,1
2,6,1
2,7,1
2,8,1
2,9,1
2,10,1
2,11,1
2,12,1
2,13,1
2,14,1
2,15,1
2,16,1
2,17,1
2,18,1
2,19,1
2,20,1
2,21,1
2,22,1
2,23,1
2,24,1
2,25,1
2,26,1
2,27,1
2,28,1
2,29,1
2,30,1
2,31,1
2,32,1
2,33,1
2,34,1
2,35,1
2,36,1
2,37,1
2,38,1
2,39,1
2,40,1
2,41,1
2,42,1
2,43,1
2,44,1
2,45,1
2,46,1
2,47,1
2,48,1
2,49,1
2,50,1
2,51,1
2,52,1
2,53,1
2,54,1
2,55,1
2,56,1
2,57,1
2,58,1
2,59,1
2,60,1
2,61,1
2,62,1
2,63,1
2,64,1
2,65,1
2,66,1
2,67,1
2,68,1
2,69,1
2,70,1
2,71,1
2,72,1
2,73,1
2,74,1
2,75,1
2,76,1
2,77,1
2,78,1
2,79,1
2,80,1
2,81,1
2,82,1
2,83,1
2,84,1
2,85,1
2,86,1
2,87,1
2,88,1
2,89,1
2,90,1
2,91,1
2,92,1
2,93,1
2,94,1
2,95,1
2,96,1
2,97,1
2,98,1
2,99,1
2,100,1
3,1,1
3,2,1
3,3,2
3,4,2
3,5,2
3,6,2
3,7,2
3,8,2
3,9,2
3,10,2
3,11,2
3,12,2
3,13,2
3,14,2
3,15,2
3,16,2
3,17,2
3,18,2
3,19,2
3,20,2
3,21,2
3,22,2
3,23,2
3,24,2
3,25,2
3,26,2
3,27,2
3,28,2
3,29,2
3,30,2
3,31,2
3,32,2
3,33,2
3,34,2
3,35,2
3,36,2
3,37,2
3,38,2
3,39,2
3,40,2
3,41,2
3,42,2
3,43,2
3,44,2
3,45,2
3,46,2
3,47,2
3,48,2
3,49,2
3,50,2
3,51,2
3,52,2
3,53,2
3,54,2
3,55,2
3,56,2
3,57,2
3,58,2
3,59,2
3,60,2
3,61,2
3,62,2
3,63,2
3,64,2
3,65,2
3,66,2
3,67,2
3,68,2
3,69,2
3,70,2
3,71,2
3,72,2
3,73,2
3,74,2
3,75,2
3,76,2
3,77,2
3,78,2
3,79,2
3,80,2
3,81,2
3,82,2
3,83,2
3,84,2
3,85,2
3,86,2
3,87,2
3,88,2
3,89,2
3,90,2
3,91,2
3,92,2
3,93,2
3,94,2
3,95,2
3,96,2
3,97,2
3,98,2
