Threshold,EV,Hours,Significance
1,449,2,100
2,456,2,100
3,500,2,100
4,498,2,100
5,522,2,100
6,498,2,100
7,485,2,100
8,475,2,100
9,528,2,100
10,508,2,100
11,507,2,100
12,541,2,100
13,526,2,100
14,509,2,100
15,527,2,100
16,536,2,100
17,539,2,100
18,509,2,100
19,505,2,100
20,441,2,100
21,493,2,100
22,508,2,100
23,432,2,100
24,476,2,100
25,459,2,100
26,508,2,100
27,450,2,100
28,524,2,100
29,488,2,100
30,511,2,100
31,535,2,100
32,489,2,100
33,475,2,100
34,439,2,100
35,419,2,100
36,457,2,100
37,510,2,100
38,475,2,100
39,463,2,100
40,504,2,100
41,540,2,100
42,451,2,100
43,501,2,100
44,492,2,100
45,509,2,100
46,498,2,100
47,487,2,100
48,503,2,100
49,457,2,100
50,468,2,100
51,485,2,100
52,518,2,100
53,534,2,100
54,554,2,100
55,489,2,100
56,533,2,100
57,488,2,100
58,479,2,100
59,482,2,100
60,575,2,100
61,477,2,100
62,475,2,100
63,541,2,100
64,465,2,100
65,496,2,100
66,510,2,100
67,494,2,100
68,495,2,100
69,501,2,100
70,515,2,100
71,519,2,100
72,470,2,100
73,499,2,100
74,522,2,100
75,487,2,100
76,521,2,100
77,463,2,100
78,468,2,100
79,455,2,100
80,504,2,100
81,517,2,100
82,515,2,100
83,520,2,100
84,500,2,100
85,523,2,100
86,551,2,100
87,460,2,100
88,504,2,100
89,482,2,100
90,484,2,100
91,508,2,100
92,553,2,100
93,550,2,100
94,552,2,100
95,518,2,100
96,507,2,100
97,525,2,100
98,521,2,100
99,528,2,100
100,499,2,100
101,550,2,100
102,500,2,100
103,518,2,100
104,513,2,100
105,542,2,100
106,503,2,100
107,461,2,100
108,507,2,100
109,497,2,100
110,490,2,100
111,534,2,100
112,500,2,100
113,551,2,100
114,515,2,100
115,449,2,100
116,520,2,100
117,581,2,100
118,486,2,100
119,539,2,100
120,529,2,100
121,505,2,100
122,528,2,100
123,480,2,100
124,488,2,100
125,508,2,100
126,497,2,100
127,498,2,100
128,469,2,100
129,508,2,100
130,482,2,100
131,548,2,100
132,526,2,100
133,545,2,100
134,535,2,100
135,509,2,100
136,501,2,100
137,474,2,100
138,541,2,100
139,527,2,100
140,508,2,100
141,520,2,100
142,525,2,100
143,539,2,100
144,562,2,100
145,527,2,100
146,481,2,100
147,519,2,100
148,471,2,100
149,531,2,100
150,489,2,100
151,553,2,100
152,523,2,100
153,509,2,100
154,526,2,100
155,534,2,100
156,520,2,100
157,465,2,100
158,468,2,100
159,507,2,100
160,530,2,100
161,506,2,100
162,491,2,100
163,514,2,100
164,461,2,100
165,522,2,100
166,476,2,100
167,553,2,100
168,471,2,100
169,530,2,100
170,548,2,100
171,500,2,100
172,508,2,100
173,560,2,100
174,517,2,100
175,506,2,100
176,483,2,100
177,511,2,100
178,494,2,100
179,451,2,100
180,505,2,100
181,503,2,100
182,494,2,100
183,492,2,100
184,488,2,100
185,473,2,100
186,483,2,100
187,544,2,100
188,527,2,100
189,498,2,100
190,471,2,100
191,461,2,100
192,482,2,100
193,552,2,100
194,545,2,100
195,565,2,100
196,522,2,100
197,500,2,100
198,577,2,100
199,501,2,100
200,495,2,100
201,493,2,100
202,524,2,100
203,587,2,100
204,484,2,100
205,533,2,100
206,559,2,100
207,523,2,100
208,525,2,100
209,576,2,100
210,570,2,100
211,509,2,100
212,532,2,100
213,484,2,100
214,515,2,100
215,518,2,100
216,508,2,100
217,577,2,100
218,515,2,100
219,512,2,100
220,551,2,100
221,479,2,100
222,520,2,100
223,542,2,100
224,564,2,100
225,514,2,100
226,514,2,100
227,536,2,100
228,554,2,100
229,534,2,100
230,523,2,100
231,551,2,100
232,515,2,100
233,562,2,100
234,579,2,100
235,503,2,100
236,523,2,100
237,492,2,100
238,574,2,100
239,476,2,100
240,540,2,100
241,566,2,100
242,565,2,100
243,492,2,100
244,470,2,100
245,503,2,100
246,496,2,100
247,513,2,100
248,536,2,100
249,578,2,100
250,502,2,100
251,537,2,100
252,465,2,100
253,513,2,100
254,475,2,100
255,470,2,100
256,480,2,100
257,552,2,100
258,534,2,100
259,465,2,100
260,506,2,100
261,515,2,100
262,550,2,100
263,527,2,100
264,505,2,100
265,554,2,100
266,544,2,100
267,565,2,100
268,493,2,100
269,545,2,100
270,492,2,100
271,524,2,100
272,499,2,100
273,479,2,100
274,516,2,100
275,497,2,100
276,506,2,100
277,531,2,100
278,554,2,100
279,481,2,100
280,520,2,100
281,534,2,100
282,551,2,100
283,571,2,100
284,535,2,100
285,548,2,100
286,545,2,100
287,526,2,100
288,518,2,100
289,537,2,100
290,528,2,100
291,510,2,100
292,521,2,100
293,596,2,100
294,474,2,100
295,473,2,100
296,515,2,100
297,543,2,100
298,452,2,100
299,478,2,100
300,589,2,100
301,518,2,100
302,561,2,100
303,567,2,100
304,563,2,100
305,509,2,100
306,597,2,100
307,502,2,100
308,540,2,100
309,514,2,100
310,537,2,100
311,552,2,100
312,531,2,100
313,546,2,100
314,559,2,100
315,568,2,100
316,499,2,100
317,518,2,100
318,590,2,100
319,580,2,100
320,548,2,100
321,596,2,100
322,561,2,100
323,511,2,100
324,546,2,100
325,602,2,100
326,527,2,100
327,556,2,100
328,578,2,100
329,588,2,100
330,538,2,100
331,554,2,100
332,543,2,100
333,536,2,100
334,517,2,100
335,545,2,100
336,500,2,100
337,540,2,100
338,579,2,100
339,584,2,100
340,503,2,100
341,529,2,100
342,571,2,100
343,563,2,100
344,567,2,100
345,534,2,100
346,546,2,100
347,555,2,100
348,586,2,100
349,574,2,100
350,587,2,100
351,611,2,100
352,604,2,100
353,566,2,100
354,556,2,100
355,544,2,100
356,539,2,100
357,527,2,100
358,580,2,100
359,537,2,100
360,538,2,100
361,578,2,100
362,578,2,100
363,533,2,100
364,581,2,100
365,585,2,100
366,579,2,100
367,568,2,100
368,535,2,100
369,541,2,100
370,604,2,100
371,536,2,100
372,635,2,100
373,580,2,100
374,549,2,100
375,595,2,100
376,525,2,100
377,579,2,100
378,550,2,100
379,617,2,100
380,617,2,100
381,532,2,100
382,613,2,100
383,545,2,100
384,591,2,100
385,511,2,100
386,569,2,100
387,557,2,100
388,623,2,100
389,593,2,100
390,607,2,100
391,600,2,100
392,577,2,100
393,594,2,100
394,491,2,100
395,538,2,100
396,528,2,100
397,561,2,100
398,547,2,100
399,622,2,100
400,607,2,100
401,565,2,100
402,576,2,100
403,565,2,100
404,603,2,100
405,622,2,100
406,600,2,100
407,574,2,100
408,592,2,100
409,571,2,100
410,558,2,100
411,608,2,100
412,554,2,100
413,632,2,100
414,602,2,100
415,574,2,100
416,595,2,100
417,611,2,100
418,602,2,100
419,635,2,100
420,580,2,100
421,500,2,100
422,589,2,100
423,568,2,100
